date,DJIA,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
4/30/15,0.00362286,0.005786484,-0.008576677,-0.04490953,0.094589913,0.047221404,0.057915627,0.036514358,0.044953924,-0.058357408,0.067227419,0.040933913,-0.013916588,0.051179801,0.000246722,-0.009133876,-0.051894492,0.036186523,0.196261766,-0.014850991,-0.024720065,-0.021852139,-0.064921594,-0.058246755,-0.029437172,0.009784457,0.048928801,-0.020666086,-0.051063511,0.027882357
5/29/15,0.009537848,0.045339162,0.029309307,-0.013391027,-0.017955614,0.016649061,-0.063331851,0.01517665,0.053014373,0.041503001,0.005608546,0.066334167,0.016837177,0.03983578,0.00986201,0.002213062,0.023632885,0.022330392,-0.030334187,0.034264119,0.032641941,-0.014086111,9.90E-05,0.07908427,0.035714203,0.041638109,-0.019825437,0.039157151,-0.042425453,-0.016771432
6/30/15,-0.021718776,-0.037227582,-0.021440261,-0.012809594,-0.005860101,-0.063118242,-0.06339819,0.034157877,0.01260981,0.002695065,-0.041202404,-0.117237145,-0.026762472,0.030100363,-0.03433501,-0.008965091,-0.030047701,-0.057923693,-0.057831834,0.062456949,-0.035108118,-0.001913547,-0.038198197,0.019189285,-0.053255992,-0.022277409,-0.05724122,-0.016309448,-0.044970925,-0.023474352
7/31/15,0.003992711,-0.032926763,-0.021358481,0.039287627,-0.064418443,0.042935978,-0.082823441,0.057454966,-0.017816967,0.053090766,-0.004118862,-0.04832358,0.028216602,0.017973667,0.04715776,0.050384185,-0.019183601,0.035657929,0.057757643,0.066654523,0.075454996,-0.011656903,0.097868759,-0.004918055,-0.095735957,0.12196586,0.015684758,0.144362886,0.014803612,-0.047956242
8/31/15,-0.065677745,-0.066196072,0.008677224,-0.087786857,-0.027851643,-0.089373791,-0.073118606,-0.150999955,-0.07714387,-0.004870562,-0.079463729,-0.005972604,-0.054995116,-0.064643121,-0.042843051,-0.040085007,-0.054254036,-0.08666896,-0.061949129,-0.03011631,-0.099506727,-0.078618236,-0.061911126,-0.046952332,-0.080765157,-0.052072992,-0.016670319,-0.100800563,-0.094581946,-0.041232646
9/30/15,-0.014722209,-0.021816316,-0.033759324,0.002066069,-0.144950349,0.014296732,-0.026052488,0.003140972,-0.07868512,-0.003279586,-0.019744354,0.056061709,-0.006703532,-0.04883006,0.029185438,0.036939745,-0.002603064,-0.074926528,0.017003838,0.105997568,-0.025139659,0.017971034,0.006076784,0.00701681,-0.028599345,-0.023001363,-0.054335953,-0.039861341,0.001699276,-0.01182869
10/30/15,0.084670817,0.083408982,-0.007995471,0.130737243,0.129218506,0.107910822,0.152129784,0.112915898,0.079074785,0.070568939,-0.033731187,0.123423972,0.082270945,0.061400576,0.055583539,0.139246919,0.108909128,0.106701861,0.189335576,0.065544245,0.076727174,0.071258933,0.134230839,0.015257159,0.105854462,0.113695049,0.091449623,0.019013069,-0.117211537,0.112844535
11/30/15,0.003191934,-0.005804396,-0.022112889,-0.011620964,-0.004658333,-0.055459046,0.017113941,-0.002373749,0.016910312,0.082821081,0.004624446,0.03410867,0.009465751,0.037821008,0.014093396,0.024989807,0.002536689,-0.030186768,0.039444311,0.009539888,-0.02322578,-0.020162346,0.014881826,-0.043046294,-0.017673008,0.020262813,-0.030503506,-0.003290671,0.02795246,-0.00444906
12/31/15,-0.016641758,-0.11022837,-0.029173926,-0.00591281,-0.064556291,-0.00330291,-0.01489291,-0.068004115,-0.051520949,-0.007802368,-0.01291051,-0.009203066,0.014618644,-0.009747968,0.007977456,0.034863113,-0.037936149,0.005026694,0.020791145,-0.050442367,-0.014952744,0.061063792,-0.009606836,0.04824875,0.000208183,-0.018478559,0.016941764,0.013447807,0.050534533,-0.045432467
1/29/16,-0.055020195,-0.075242188,-0.227402379,-0.169168034,-0.060618929,-0.117254089,-0.038794994,-0.088123246,-0.103589733,-0.049073656,-0.093227791,-0.099564543,0.016744666,-0.092849455,-0.000931063,0.047740063,0.002389895,-0.040704271,-0.00702968,-0.007840068,-0.055452235,0.037676669,-0.051568236,-0.021081256,-0.087227945,-0.039458507,0.094431648,-0.063879785,0.082544979,-0.001282865
