PERMNO,date,TICKER,PRC
90520,20160729,CE,63.42
90520,20160831,CE,64.43
90520,20160930,CE,66.56
90520,20161031,CE,72.92
90520,20161130,CE,79.32
90520,20161230,CE,78.74
90520,20170131,CE,84.4
90520,20170228,CE,89.17
90520,20170331,CE,89.85
90520,20170428,CE,87.04
90520,20170531,CE,86.55
90520,20170630,CE,94.94
90520,20170731,CE,96.17
90520,20170831,CE,97.02
90520,20170929,CE,104.27
90520,20171031,CE,104.31
90520,20171130,CE,107.24
90520,20171229,CE,107.08
90520,20180131,CE,108.16
90520,20180228,CE,100.86
90520,20180329,CE,100.21
90520,20180430,CE,108.67
90520,20180531,CE,112.92
90520,20180629,CE,111.06
90520,20180731,CE,118.11
90520,20180831,CE,116.83
90520,20180928,CE,114
90520,20181031,CE,96.94
90520,20181130,CE,100.93
90520,20181231,CE,89.97
90562,20130131,TAP,-45.395
90562,20130228,TAP,-44.565
90562,20130328,TAP,-48.955
90562,20130430,TAP,51.5
90562,20130531,TAP,-49.545
90562,20130628,TAP,-48.29
90562,20130731,TAP,50.4
90562,20130830,TAP,-48.995
90562,20130930,TAP,50.2
90562,20131031,TAP,54.07
90562,20131129,TAP,-52.7
90562,20131231,TAP,-56.09
90562,20140131,TAP,53.02
90562,20140228,TAP,-57.065
90562,20140331,TAP,-59.115
90562,20140430,TAP,59.9
90562,20140530,TAP,-65.89
90562,20140630,TAP,75.32
90562,20140731,TAP,67.69
90562,20140829,TAP,-74.405
90562,20140930,TAP,74.68
90562,20141031,TAP,78.69
90562,20141128,TAP,-82.525
90562,20141231,TAP,101.375
90562,20150130,TAP,-82.4
90562,20150227,TAP,-87
90562,20150331,TAP,83.88
90562,20150430,TAP,87
90562,20150529,TAP,81.52
90562,20150630,TAP,71.09
90562,20150731,TAP,70.05
90562,20150831,TAP,68.11
90562,20150930,TAP,-83.05
90562,20151030,TAP,87.9
90562,20151130,TAP,93.36
90562,20151231,TAP,-94.19
90562,20160129,TAP,91.252
90562,20160229,TAP,-85.37
90562,20160331,TAP,-96.27
90562,20160429,TAP,-95.725
90562,20160531,TAP,99.065
90562,20160630,TAP,101.09
90562,20160729,TAP,100.17
90562,20160831,TAP,-103.315
90562,20160930,TAP,109.25
90562,20161031,TAP,-113.21
90562,20161130,TAP,-103.045
90562,20161230,TAP,-97.19
90562,20170131,TAP,96.21
90562,20170228,TAP,-100.17
90562,20170331,TAP,-103.265
90562,20170428,TAP,95.5
90562,20170531,TAP,-97.165
90562,20170630,TAP,-92.935
90562,20170731,TAP,-87.64
90562,20170831,TAP,91.63
90562,20170929,TAP,-82.385
90562,20171031,TAP,-83.09
90562,20171130,TAP,-81.895
90562,20171229,TAP,83.99
90562,20180131,TAP,88
90562,20180228,TAP,79.5
90562,20180329,TAP,-79.925
90562,20180430,TAP,-73.025
90562,20180531,TAP,70
90562,20180629,TAP,68.3
90562,20180731,TAP,67
90562,20180831,TAP,-69.05
90562,20180928,TAP,-66.235
90562,20181031,TAP,61.98
90562,20181130,TAP,-72.145
90562,20181231,TAP,-63.785
90601,20130131,NDAQ,28.32
90601,20130228,NDAQ,31.66
90601,20130328,NDAQ,32.3
90601,20130430,NDAQ,29.48
90601,20130531,NDAQ,31.46
90601,20130628,NDAQ,32.79
90601,20130731,NDAQ,32.4
90601,20130830,NDAQ,29.86
90601,20130930,NDAQ,32.11
90601,20131031,NDAQ,35.43
90601,20131129,NDAQ,39.29
90601,20131231,NDAQ,39.8
90601,20140131,NDAQ,38.15
90601,20140228,NDAQ,38.39
90601,20140331,NDAQ,36.94
90601,20140430,NDAQ,36.9
90601,20140530,NDAQ,37.9
90601,20140630,NDAQ,38.62
90601,20140731,NDAQ,42.19
90601,20140829,NDAQ,43.47
90601,20140930,NDAQ,42.42
90601,20141031,NDAQ,43.26
90601,20141128,NDAQ,44.91
90601,20141231,NDAQ,47.96
90601,20150130,NDAQ,45.6
90601,20150227,NDAQ,50.16
90601,20150331,NDAQ,50.94
90601,20150430,NDAQ,48.63
90601,20150529,NDAQ,51.75
90601,20150630,NDAQ,48.81
90601,20150731,NDAQ,51.03
90601,20150831,NDAQ,51.19
90601,20150930,NDAQ,53.33
90601,20151030,NDAQ,57.89
90601,20151130,NDAQ,58.62
90601,20151231,NDAQ,58.17
90601,20160129,NDAQ,62
90601,20160229,NDAQ,63.29
90601,20160331,NDAQ,66.38
90601,20160429,NDAQ,61.71
90601,20160531,NDAQ,66.01
90601,20160630,NDAQ,64.67
90601,20160729,NDAQ,70.76
90601,20160831,NDAQ,71.21
90601,20160930,NDAQ,67.54
90601,20161031,NDAQ,63.97
90601,20161130,NDAQ,64.09
90601,20161230,NDAQ,67.12
90601,20170131,NDAQ,70.54
90601,20170228,NDAQ,71.11
90601,20170331,NDAQ,69.45
90601,20170428,NDAQ,68.87
90601,20170531,NDAQ,67.65
90601,20170630,NDAQ,71.49
90601,20170731,NDAQ,74.37
90601,20170831,NDAQ,75.38
90601,20170929,NDAQ,77.57
90601,20171031,NDAQ,72.65
90601,20171130,NDAQ,79.16
90601,20171229,NDAQ,76.83
90601,20180131,NDAQ,80.91
90601,20180228,NDAQ,80.75
90601,20180329,NDAQ,86.22
90601,20180430,NDAQ,88.32
90601,20180531,NDAQ,91.86
90601,20180629,NDAQ,91.27
90601,20180731,NDAQ,91.4
90601,20180831,NDAQ,95.44
90601,20180928,NDAQ,85.8
90601,20181031,NDAQ,86.71
90601,20181130,NDAQ,91.32
90601,20181231,NDAQ,81.57
90805,20130131,DISCA,69.38
90805,20130228,DISCA,73.34
90805,20130328,DISCA,78.74
90805,20130430,DISCA,78.82
90805,20130531,DISCA,78.87
90805,20130628,DISCA,77.24
90805,20130731,DISCA,79.72
90805,20130830,DISCA,77.51
90805,20130930,DISCA,84.42
90805,20131031,DISCA,88.861
90805,20131129,DISCA,87.27
90805,20131231,DISCA,90.42
90805,20140131,DISCA,79.78
90805,20140228,DISCA,83.32
90805,20140331,DISCA,82.7
90805,20140430,DISCA,75.9
90805,20140530,DISCA,76.96
90805,20140630,DISCA,74.28
90805,20140731,DISCA,85.21
90805,20140829,DISCA,43.72
90805,20140930,DISCA,37.8
90805,20141031,DISCA,35.35
90805,20141128,DISCA,34.9
90805,20141231,DISCA,34.45
90805,20150130,DISCA,28.985
90805,20150227,DISCA,32.3
90805,20150331,DISCA,30.76
90805,20150430,DISCA,32.36
90805,20150529,DISCA,33.94
90805,20150630,DISCA,33.26
90805,20150731,DISCA,33.02
90805,20150831,DISCA,26.6
90805,20150930,DISCA,26.03
90805,20151030,DISCA,29.44
90805,20151130,DISCA,31.14
90805,20151231,DISCA,26.68
90805,20160129,DISCA,27.59
90805,20160229,DISCA,25
90805,20160331,DISCA,28.63
90805,20160429,DISCA,27.31
90805,20160531,DISCA,27.85
90805,20160630,DISCA,25.23
90805,20160729,DISCA,25.09
90805,20160831,DISCA,25.51
90805,20160930,DISCA,26.92
90805,20161031,DISCA,26.11
90805,20161130,DISCA,27.09
90805,20161230,DISCA,27.41
90805,20170131,DISCA,28.35
90805,20170228,DISCA,28.76
90805,20170331,DISCA,29.09
90805,20170428,DISCA,28.78
90805,20170531,DISCA,26.5
90805,20170630,DISCA,25.83
90805,20170731,DISCA,24.6
90805,20170831,DISCA,22.21
90805,20170929,DISCA,21.29
90805,20171031,DISCA,18.88
90805,20171130,DISCA,19.02
90805,20171229,DISCA,22.38
90805,20180131,DISCA,25.07
90805,20180228,DISCA,24.32
90805,20180329,DISCA,21.43
90805,20180430,DISCA,23.65
90805,20180531,DISCA,21.09
90805,20180629,DISCA,27.5
90805,20180731,DISCA,26.58
90805,20180831,DISCA,27.83
90805,20180928,DISCA,32
90805,20181031,DISCA,32.39
90805,20181130,DISCA,30.72
